id,date,lat,lng,name,score,text,title,user
review_620611387,2018-09-29,42.691116,23.312674,Casa Ferrari B&B,100,"Cassa Ferrari is a lovely traditional style b&b in a great location for exploring Sofia. Ludmill the owner is really friendly and knowledgeable. He genuinley wants his guests to have a good time, which we did. We particularly enjoyed our trip with Ludmill to Rila Monastery and Boyana church. We would recommend staying here to our friends and family. Emily and Steve",Very happy with our stay,E9AA3398FD2438316BC5EE2357226354
review_618431127,2018-09-21,42.691116,23.312674,Casa Ferrari B&B,100,"Centrally located (lots of very nice shops, restaurants and cafes nearby, if you know where to look- Bulgarians very impressed by the location.A lovely, hospitable host who cannot do enough to help visitors.Clean, tidy and well-run.Kitchen facilities available and extras, like a hairdryer.",Hospitality in buckets!,AD851FA101D76668B21056695F62FAE4
review_607824744,2018-08-18,42.691116,23.312674,Casa Ferrari B&B,100,"We have stayed here several times and feel so comfortable at Casa Ferrari!! The rooms are comfortabl, clean and air conditioned, breakfast is great. It is easy to get around to the center of Sofia and Ludmill will help guide you to whatever you would like to do around Sofia or other parts of Bulgaria. A most gracious host and as many have said goes out of his way to make your stay the best possible in this lovely B&B.","Ludmill is a wonderful host at this clean, comfortable home away from home.",5C8CB075B42877AB4DDDF719C05250E8
review_605894127,2018-08-13,42.691116,23.312674,Casa Ferrari B&B,100,"Other reviews have already mentioned what the property looks like, its location etc. But I want to focus on Ludmil. Not only is he the part owner, but he's the friendliest host I've ever encountered, whether in an airbnb setting or a hotel setting. He always has a smiling face and a can-do attitude. There is nothing that he wouldn't mind doing to make your stay more enjoyable and comfortable. We needed to keep the room for a few more hours to freshen up on the way out. No problem. We needed to be picked up at the airport as we were not renting a car for the one day we were spending in Sofia. No problem. We needed a ride to the bus station when leaving. No problem. We had questions about food and local transportation. No problem. We wanted to learn about the city and the country - Ludmil made a very information presentation on the history of the city and the country on our way over to Casa Ferrari.Bottom line: We would stay at Casa Ferrari just to spend time with Ludmil (all other reasons notwithstanding)!",Ludmil is the man!!,C5C4A8239B6DB1219839DF3C6FD579C6
review_603245627,2018-08-06,42.691116,23.312674,Casa Ferrari B&B,100,"The location is walking distance from many of the major downtown sites -- we never had to drive or take taxis. The B&B is on the ground floor of an apartment building. We had a large room with high ceilings, hardwood floors and oak furniture, plus a comfortable private bath.The proprietor was very helpful and pointed us, immediately, to a free walking tour that helped orient us to Sofia and let us plan out the next day. Like most other things, we were able to get to the walking tour on foot.Everything is clean and comfortable. We can recommend highly.",Enjoyed staying at this homey b&B,4D3CB250C78782B1F63232E7E42398A5
review_589996443,2018-06-23,42.691116,23.312674,Casa Ferrari B&B,100,My daughter and I have just stayed here for 2 nights. Ludmil is a wonderful host and nothing is too much trouble. He has an excellent knowledge of the area and the history too of Sofia. The room was very comfortable and breakfast was traditional. Highly recommended,Wonderful,422DC38DDE4289A8CDB3E9020FB6DFA7
review_586063322,2018-06-08,42.691116,23.312674,Casa Ferrari B&B,100,"My wife and I decided to visit our native country Bulgaria this year. After being in USA for 24 years and post previous visits, in average of once in 3-4 years, we were expecting to become better and better in many aspects of life. And we were right. We found Casa Ferrari, a cosy nice B&B hotel in central part of Sofia on a quiet street. It is a super place to be. You feel like at home. Rooms are simply perfect. The entire apartment place is with all necessary things to maintain a nice and relaxing stay. The service of Mr. Mandichev is world class. Professional, responsive, polite, helpful. Ludmil is doing superb job. He picked up us from the airport with very nice modern car and in no time we have been in the beautiful room to rest from the long trip. No hassle with taxi drivers that are generally nice but could be an unusual trip (no fresh air in the car, not finding the place right away, etc.). With the manager and owner of the place we got no waiting for taxi and we were sure he will not take a long road to the hotel. The place is located in a very good heart part of the capital. Easy connections are available by public transportation as well. There are nice pretty restaurants in a walking distance too. When you need taxi just pick up the phone in the hotel no need to remember a number, press a button and the dispatcher replies and the taxi comes in 3-5 minutes. I am so glad we found that place to stay.And as usual when you travel unexpected things happened. This time I forgot my cell phone in the place after leaving it and already locking it with the keys inside. We were in a hurry and had to travel to a different town for a day. Next day Mr. Mandichev was waiting for us at a convenient place in the capital with my cell phone. My trip was saved. My whole vacation was good. Now I know where to stay when I go to Sofia. The answer is simple Casa Ferrari. This place deserves 9.8-10.0 Thank you!!!",Visit Sofia and feel like being at home,7548FC068B2C935321388C20C5046211
review_575840288,2018-04-26,42.691116,23.312674,Casa Ferrari B&B,100,"Ludmil is a very interesting person, an excellent guide for the culture and history of Sofia and Bulgaria. His property is in an excellent location. And his bed and breakfast accommodation appears to attract fascinating people.",A good guide to an interesting town,BE2F3154FF674B38061E872CF7F4668F
review_574715513,2018-04-21,42.691116,23.312674,Casa Ferrari B&B,100,"Thats why it deserves 5 stars. Owner is very kind and helpful and also knowledgable. Rooms are super clean, with all the necessities and very nicely furnished. I enjoyed my short stay and would come back again.",It is exactly what it says it is,0AD365ECEB41DA36D719A9542DD259A3
review_557858946,2018-02-01,42.691116,23.312674,Casa Ferrari B&B,100,"Casa Ferrari B&B is a cosy and comfortable B&B in the heart of Sofia. From day 1, the owner, Ludmil has been fast and responsive in his communications to me. I got to know that Ludmil provides pick up service at a reasonable price and since we arrived very late at night, Ludmil was already waiting for our arrival at the airport. Ludmil does not stay at the B&B but nearby. The B&B is very clean and cosy with beautiful italian styled furniture. The room and bathroom is spacious. Coffee and tea is always available and you can make it yourself at the kitchen. Ludmil also provides wonderful breakfast everyday and chats with us while we are having our breakfast. He's very knowledgeable and we have enjoyable and lively conversations with him. The B&B is walking distance to 2 different metro stops and you can also walk to almost everywhere as well. The main shopping street - Vitosha Boulevard is around 15 mins away by walking. The B&B is in a quiet but secure lane. You have to have a pass to enter the building and then a key to enter the main door of the apartment and finally a key to your room. We enjoyed the walks from the B&B to the sights. Along the B&B, there are food shops and small shops selling knickknacks. Ludmil is always there to provide assistance and information should you need it. He can also take you on day trips to Rilla Monastry. Our flight leaving Sofia was late night and Ludmil kept our luggages at the main area as there was already a guest coming in the afternoon.We enjoyed our stay and hope to stay again at Case Ferarri in the future.",Charming and cosy,2590F3E3E4B1385C1260440C3BC31C7E
